description,attribute_value,cosine_similarity,margin_of_victory
SEQUENCE 2 CV 0.3,02.00 IN.,0.26768166,0.022609219
SEQUENCE 1 CV 1.9,01.00 IN.,0.26585165,0.028097332
COMMUNICATING SYLK  (FAIL OPEN),NORMALLY OPEN,0.2641135,0.07286441
COMMUNICATING SYLK (FAIL OPEN),NORMALLY OPEN,0.2641135,0.07286441
LOW PROFILE,550 psi,0.26270115,0.014080435
COMMUNICATING SYLK (FAIL CLOSED),NORMALLY CLOSED,0.25799432,0.01832369
COMMUNICATING SYLK  (FAIL CLOSED),NORMALLY CLOSED,0.25799417,0.01832357
SEQUENCE 1 CV 1.2,01.00 IN.,0.25699437,0.013382912
SEQUENCE 1 CV 4.7,04.00 IN.,0.25657868,0.007297501
NSR MODULATING ACTUATOR,MAGNETIC VALVE,0.2422558,0.0076757967
NO PRE-ASSEMBLED ACTUATOR AND NO WEATHER ENCLOSURE,ELECTRONIC FAILSAFE,0.24063168,0.035887137
COMMUNICATING SYLK (FAIL A,ELECTRONIC FAILSAFE,0.23917225,0.0010426193
COMMUNICATING SYLK  (FAIL A,ELECTRONIC FAILSAFE,0.23917225,0.0010426193
SEQUENCE 1 CV 7.4,00700 - 00799,0.23907816,0.007944569
MN7510A2001 MODULATING ACTUATOR,MAGNETIC VALVE,0.22815126,0.00090011954
SEQUENCE 2 CV 4.7,04.00 IN.,0.22785363,0.011027232
COMMUNICATING SYLK (FAIL B,ELECTRONIC FAILSAFE,0.22253935,0.0060982853
COMMUNICATING SYLK  (FAIL B,ELECTRONIC FAILSAFE,0.22253935,0.0060982853
SEQUENCE 2 CV 1.2,02.00 IN.,0.22238928,0.010170981
SEQUENCE 2 CV 1.9,02.00 IN.,0.2222009,0.0049217045
SEQUENCE 2 CV 7.4,04.00 IN.,0.2097823,0.0067570508
